node_id,x,y,z,ux,uy,uz,temp,defect_label
198,2638.0,2000.0,0.0,0.77479094,0.379191,0.19023283,120.0,0
199,2638.0,2050.0,0.0,0.80036193,0.389191,0.20616132,120.0,0
200,2638.0,2100.0,0.0,0.8259329,0.39919102,0.22208981,120.0,0
201,2638.0,2150.0,0.0,0.85150385,0.409191,0.2380183,120.0,0
202,2638.0,2200.0,0.0,0.87707484,0.419191,0.25394678,120.0,0
203,2638.0,2250.0,0.0,0.90264577,0.42919102,0.2698753,120.0,0
204,2638.0,2300.0,0.0,0.92821676,0.439191,0.28580377,120.0,0
205,2638.0,2350.0,0.0,0.95378774,0.449191,0.30173227,120.0,0
206,2638.0,2400.0,0.0,0.9793587,0.45919102,0.31766075,120.0,0
207,2638.0,2450.0,0.0,1.0049297,0.469191,0.33358923,120.0,0
208,2638.0,2500.0,0.0,1.0305007,0.479191,0.34951773,120.0,0
209,2638.0,2550.0,0.0,1.0560716,0.48919103,0.3654462,120.0,0
210,2638.0,2600.0,0.0,1.0816425,0.49919102,0.38137472,120.0,0
211,2638.0,2650.0,0.0,1.1072135,0.50919104,0.3973032,120.0,0
212,2638.0,2700.0,0.0,1.1327845,0.519191,0.4132317,120.0,0
213,2638.0,2750.0,0.0,1.1583555,0.529191,0.42916018,120.0,0
214,2638.0,2800.0,0.0,1.1839265,0.539191,0.44508865,120.0,0
215,2638.0,2850.0,0.0,1.2094973,0.549191,0.46101716,120.0,0
216,2638.0,2900.0,0.0,1.2350683,0.559191,0.47694564,120.0,0
217,2638.0,2950.0,0.0,1.2606393,0.56919104,0.49287415,120.0,0
218,2638.0,3000.0,0.0,1.2862103,0.579191,0.50880265,120.0,0
219,2638.0,3050.0,0.0,1.3117813,0.589191,0.5247311,120.0,0
220,2638.0,3100.0,0.0,1.3373522,0.599191,0.5406596,120.0,0
221,2638.0,3150.0,0.0,1.3629231,0.609191,0.5565881,120.0,0
222,2638.0,3200.0,0.0,1.3884941,0.619191,0.57251656,120.0,0
223,2638.0,3250.0,0.0,1.4140651,0.62919104,0.58844507,120.0,0
224,2638.0,3300.0,0.0,1.4396361,0.63919103,0.6043736,120.0,0
225,2638.0,3350.0,0.0,1.4652071,0.649191,0.6203021,120.0,0
226,2638.0,3400.0,0.0,1.490778,0.659191,0.6362305,120.0,0
227,2638.0,3450.0,0.0,1.516349,0.669191,0.65215904,120.0,0
228,2638.0,3500.0,0.0,1.54192,0.679191,0.66808754,120.0,0
229,2638.0,3550.0,0.0,1.5674909,0.68919104,0.684016,120.0,0
230,2638.0,3600.0,0.0,1.5930619,0.69919103,0.6999445,120.0,0
231,2638.0,3650.0,0.0,1.6186328,0.709191,0.715873,120.0,0
232,2638.0,3700.0,0.0,1.6442038,0.719191,0.7318015,120.0,0
233,2638.0,3750.0,0.0,1.6697748,0.729191,0.74772996,120.0,0
234,2638.0,3800.0,0.0,1.6953458,0.739191,0.76365846,120.0,0
235,2638.0,3850.0,0.0,1.7209167,0.749191,0.779587,120.0,0
236,2638.0,3900.0,0.0,1.7464876,0.75919104,0.7955154,120.0,0
237,2638.0,3950.0,0.0,1.7720586,0.769191,0.8114439,120.0,0
238,2638.0,4000.0,0.0,1.7976296,0.779191,0.82737243,120.0,0
239,2638.0,4050.0,0.0,1.8232006,0.789191,0.84330094,120.0,0
240,2638.0,4100.0,0.0,1.8487716,0.799191,0.8592294,120.0,0
241,2638.0,4150.0,0.0,1.8743424,0.809191,0.8751579,120.0,0
242,2638.0,4200.0,0.0,1.8999134,0.81919104,0.8910864,120.0,0
243,2638.0,4250.0,0.0,1.9254844,0.829191,0.90701485,120.0,0
244,2638.0,4300.0,0.0,1.9510554,0.839191,0.92294335,120.0,0
245,2638.0,4350.0,0.0,1.9766264,0.849191,0.93887186,120.0,0
246,2638.0,4400.0,0.0,2.0021973,0.859191,0.95480037,120.0,0
247,2638.0,4450.0,0.0,2.0277684,0.869191,0.9707288,120.0,0
248,2638.0,4500.0,0.0,2.0533392,0.87919104,0.9866573,120.0,0
249,2638.0,4550.0,0.0,2.07891,0.88919103,1.0025858,120.0,0
250,2638.0,4600.0,0.0,2.1044812,0.899191,1.0185143,120.0,0
251,2638.0,4650.0,0.0,2.130052,0.909191,1.0344428,120.0,0
252,2638.0,4700.0,0.0,2.1556232,0.919191,1.0503713,120.0,0
253,2638.0,4750.0,0.0,2.181194,0.929191,1.0662998,120.0,0
254,2638.0,4800.0,0.0,2.206765,0.93919104,1.0822283,120.0,0
255,2638.0,4850.0,0.0,2.232336,0.94919103,1.0981567,120.0,0
256,2638.0,4900.0,0.0,2.257907,0.959191,1.1140852,120.0,0
257,2638.0,4950.0,0.0,2.283478,0.969191,1.1300137,120.0,0
258,2637.522,5000.0,50.22437,2.297864,0.96343553,1.1558815,120.0,0
259,2636.0876,5000.0,100.43053,2.2864916,0.9481749,1.1656061,120.0,0
260,2633.6978,5000.0,150.60028,2.2749364,0.9334146,1.1751124,120.0,0
261,2630.353,5000.0,200.71544,2.2632022,0.91915995,1.1843969,120.0,0
262,2626.055,5000.0,250.75784,2.2512934,0.9054161,1.1934564,120.0,0
263,2620.805,5000.0,300.70935,2.2392142,0.892188,1.2022874,120.0,0
264,2614.6047,5000.0,350.55182,2.2269692,0.8794806,1.210887,120.0,0
265,2607.4565,5000.0,400.26724,2.2145627,0.8672985,1.2192518,120.0,0
266,2599.3635,5000.0,449.83755,2.201999,0.8556458,1.227379,120.0,0
267,2590.328,5000.0,499.24478,2.189283,0.8445271,1.2352654,120.0,0
268,2580.3533,5000.0,548.47107,2.176419,0.83394635,1.2429082,120.0,0
269,2569.4434,5000.0,597.4985,2.1634119,0.82390726,1.2503048,120.0,0
270,2557.602,5000.0,646.3093,2.1502664,0.8144134,1.2574525,120.0,0
271,2544.8335,5000.0,694.88586,2.1369872,0.8054685,1.2643485,120.0,0
272,2531.1426,5000.0,743.2105,2.123579,0.79707557,1.2709906,120.0,0
273,2516.534,5000.0,791.2657,2.1100469,0.78923774,1.277376,120.0,0
274,2501.013,5000.0,839.03406,2.0963957,0.7819579,1.2835027,120.0,0
275,2484.5854,5000.0,886.4983,2.0826302,0.7752386,1.2893685,120.0,0
276,2467.2573,5000.0,933.6412,2.0687556,0.76908225,1.294971,120.0,0
277,2449.0347,5000.0,980.44556,2.054777,0.7634912,1.3003085,120.0,0
278,2429.9243,5000.0,1026.8945,2.040699,0.7584674,1.3053787,120.0,0
279,2409.9329,5000.0,1072.9713,2.0265272,0.7540127,1.3101801,120.0,0
280,2389.068,5000.0,1118.659,2.0122664,0.7501286,1.3147107,120.0,0
281,2367.3372,5000.0,1163.9413,1.9979221,0.7468167,1.318969,120.0,0
282,2344.7478,5000.0,1208.8015,1.9834992,0.7440782,1.3229535,120.0,0
283,2321.3088,5000.0,1253.2236,1.9690031,0.7419138,1.3266627,120.0,0
284,2297.028,5000.0,1297.1914,1.954439,0.7403246,1.330095,120.0,0
285,2271.9148,5000.0,1340.689,1.9398123,0.73931104,1.3332496,120.0,0
286,2245.978,5000.0,1383.7006,1.9251281,0.7388734,1.3361253,120.0,0
287,2219.2268,5000.0,1426.2104,1.9103918,0.7390121,1.3387206,120.0,0
288,2191.6711,5000.0,1468.2034,1.8956088,0.73972696,1.341035,120.0,0
289,2163.321,5000.0,1509.6641,1.8807844,0.74101764,1.3430675,120.0,0
290,2134.1868,5000.0,1550.5775,1.865924,0.7428837,1.3448174,120.0,0
291,2104.2788,5000.0,1590.9288,1.851033,0.7453245,1.3462842,120.0,0
292,2073.6082,5000.0,1630.7034,1.8361168,0.74833906,1.3474671,120.0,0
293,2042.1855,5000.0,1669.8868,1.8211806,0.75192654,1.3483658,120.0,0
294,2010.0227,5000.0,1708.465,1.8062302,0.7560854,1.34898,120.0,0
295,1977.1313,5000.0,1746.4237,1.7912707,0.7608142,1.3493093,120.0,0
296,1943.5231,5000.0,1783.7494,1.7763077,0.76611125,1.3493539,120.0,0
297,1909.2104,5000.0,1820.4285,1.7613466,0.77197456,1.3491136,120.0,0
298,1874.2056,5000.0,1856.4475,1.7463927,0.77840215,1.3485885,120.0,0
299,1838.5214,5000.0,1891.7937,1.7314515,0.7853915,1.3477788,120.0,0
300,1802.1705,5000.0,1926.4541,1.7165284,0.79294026,1.3466847,120.0,0
301,1765.1665,5000.0,1960.416,1.7016289,0.8010456,1.3453068,120.0,0
302,1727.5226,5000.0,1993.6674,1.6867584,0.80970454,1.3436453,120.0,0
303,1689.2524,5000.0,2026.1959,1.6719222,0.818914,1.3417011,120.0,0
304,1650.3699,5000.0,2057.99,1.6571256,0.8286707,1.3394748,120.0,0
305,1610.8892,5000.0,2089.038,1.6423742,0.8389709,1.3369672,120.0,0
306,1570.8243,5000.0,2119.3289,1.6276731,0.8498111,1.3341792,120.0,0
307,1530.1902,5000.0,2148.8513,1.6130278,0.8611872,1.3311118,120.0,0
308,1489.0012,5000.0,2177.595,1.5984435,0.8730952,1.3277662,120.0,0
309,1447.2725,5000.0,2205.549,1.5839256,0.88553077,1.3241434,120.0,0
310,1405.0192,5000.0,2232.7036,1.5694793,0.8984893,1.3202449,120.0,0
311,1362.2565,5000.0,2259.0488,1.5551099,0.91196615,1.3160721,120.0,0
312,19.597775,10417.307,33.94434,4.548389,3.3909404,2.300387,120.0,0
313,39.082428,10385.806,67.69275,4.528724,3.363924,2.3014035,120.0,0
314,58.45294,10354.024,101.24346,4.508937,3.3369732,2.3022661,120.0,0
315,77.70831,10321.964,134.59474,4.489028,3.3100886,2.3029742,120.0,0
316,96.847534,10289.627,167.74484,4.4689984,3.2832725,2.3035285,120.0,0
317,115.86961,10257.015,200.69205,4.4488497,3.2565258,2.3039289,120.0,0
318,134.77356,10224.129,233.43465,4.4285827,3.22985,2.304175,120.0,0
319,153.55838,10190.971,265.97092,4.408198,3.2032464,2.3042665,120.0,0
320,172.22311,10157.543,298.2992,4.387697,3.1767166,2.3042042,120.0,0
321,190.76678,10123.847,330.41776,4.3670816,3.1502616,2.3039877,120.0,0
322,209.18842,10089.884,362.32495,4.3463516,3.1238832,2.303617,120.0,0
323,227.48706,10055.655,394.01913,4.325508,3.0975826,2.303092,120.0,0
324,245.66176,10021.164,425.49866,4.304553,3.0713608,2.302413,120.0,0
325,263.71158,9986.411,456.76184,4.283487,3.04522,2.3015797,120.0,0
326,281.63556,9951.399,487.8071,4.2623115,3.0191607,2.3005927,120.0,0
327,299.43277,9916.13,518.63275,4.241027,2.9931848,2.2994514,120.0,0
328,317.1023,9880.6045,549.2373,4.219635,2.9672935,2.2981565,120.0,0
329,334.64325,9844.824,579.6191,4.1981363,2.941488,2.2967072,120.0,0
330,352.05463,9808.793,609.77655,4.176533,2.9157698,2.2951047,120.0,0
331,369.33563,9772.511,639.70807,4.154825,2.8901403,2.293348,120.0,0
332,386.48526,9735.98,669.4121,4.133014,2.864601,2.291438,120.0,0
333,403.50272,9699.203,698.8872,4.111101,2.8391523,2.2893744,120.0,0
334,420.38705,9662.182,728.1317,4.089087,2.8137968,2.2871573,120.0,0
335,437.1374,9624.917,757.14417,4.0669737,2.7885349,2.2847867,120.0,0
336,453.75287,9587.412,785.92303,4.0447617,2.7633684,2.2822633,120.0,0
